net01.utdallas.edu 10.176.67.64
net02.utdallas.edu 10.176.67.65
net03.utdallas.edu 10.176.67.66
net04.utdallas.edu 10.176.67.67
net05.utdallas.edu 10.176.67.68
net06.utdallas.edu 10.176.67.69
net07.utdallas.edu 10.176.67.70
net08.utdallas.edu 10.176.67.71
net09.utdallas.edu 10.176.67.72
net10.utdallas.edu 10.176.67.73
net11.utdallas.edu 10.176.67.74
net12.utdallas.edu 10.176.67.75
net13.utdallas.edu 10.176.67.76
net14.utdallas.edu 10.176.67.77
net15.utdallas.edu 10.176.67.78
net16.utdallas.edu 10.176.67.79
net17.utdallas.edu 10.176.67.80
net18.utdallas.edu 10.176.67.81
net19.utdallas.edu 10.176.67.82
net20.utdallas.edu 10.176.67.83
net21.utdallas.edu 10.176.67.84
net22.utdallas.edu 10.176.67.85
net23.utdallas.edu 10.176.67.86
net24.utdallas.edu 10.176.67.87
net25.utdallas.edu 10.176.67.88
net26.utdallas.edu 10.176.67.89
net27.utdallas.edu 10.176.67.90
net28.utdallas.edu 10.176.67.91
net29.utdallas.edu 10.176.67.92
net30.utdallas.edu 10.176.67.93
net31.utdallas.edu 10.176.67.94
net32.utdallas.edu 10.176.67.95
net33.utdallas.edu 10.176.67.96
net34.utdallas.edu 10.176.67.97
net35.utdallas.edu 10.176.67.98
net36.utdallas.edu 10.176.67.99
net37.utdallas.edu 10.176.67.62
net38.utdallas.edu 10.176.67.101
net39.utdallas.edu 10.176.67.102
net40.utdallas.edu 10.176.67.103
net41.utdallas.edu 10.176.67.104
net42.utdallas.edu 10.176.67.105
net43.utdallas.edu 10.176.67.106
net44.utdallas.edu 10.176.67.107
net45.utdallas.edu 10.176.67.108
